StationID,StationName,County,TWD67_X,TWD67_Y,Original_WGS84_Lat,Original_WGS84_Lon,Converted_WGS84_Lat,Converted_WGS84_Lon,Conversion_Distance_meters,Conversion_Distance_km
467280,後龍,苗栗縣,120.823641,24.650318,24.648563,120.831834,24.650318,120.823641,851.8920984916701,0.8518920984916701
467290,古坑,雲林縣,120.543769,23.635401,23.633639,120.551889,23.635401,120.543769,851.212344304784,0.851212344304784
C2C410,中央大學,桃園市,121.176946,24.969417,24.967652,121.185165,24.969417,121.176946,852.6386219020658,0.8526386219020657
A0A460,文化大學,臺北市,121.531657,25.137855,25.13605,121.53987,25.137855,121.531657,851.9767735984035,0.8519767735984035
A0A010,臺灣大學,臺北市,121.531193,25.01606,25.014278,121.539416,25.01606,121.531193,853.1608987685989,0.8531608987685989
72S200,班鳩分場,臺東縣,121.069619,22.831307,22.829528,121.077694,22.831307,121.069619,851.9906014920429,0.8519906014920429
72S590,賓朗果園,臺東縣,121.063204,22.815668,22.813889,121.071278,22.815668,121.063204,851.9827418165341,0.8519827418165341
82S580,臺東茶改,臺東縣,121.12206,22.909476,22.907694,121.130139,22.909476,121.12206,852.0059009475453,0.8520059009475454
U2H480,臺大溪頭,南投縣,120.790065,23.672071,23.670306,120.798194,23.672071,120.790065,851.9576135782495,0.8519576135782495
72G600,臺中農改,彰化縣,120.526236,24.004779,24.003028,120.534389,24.004779,120.526236,851.9254595446349,0.8519254595446349
72K220,雲林分場,雲林縣,120.469202,23.636304,23.634556,120.477333,23.636304,120.469202,851.9456371589154,0.8519456371589154
72N100,臺南農改,臺南市,120.334096,23.062242,23.0605,120.342194,23.062242,120.334096,851.9806380201254,0.8519806380201254
72V140,旗南農改,高雄市,120.508583,22.859612,22.857861,120.516667,22.859612,120.508583,852.0114132839449,0.8520114132839449
72Q010,高雄農改,屏東縣,120.517814,22.711084,22.709333,120.525889,22.711084,120.517814,851.9853422831698,0.8519853422831698
B2E890,新竹畜試,苗栗縣,120.762788,24.529569,24.527806,120.770972,24.529569,120.762788,851.9809893006865,0.8519809893006864
72C440,桃園農改,桃園市,121.022375,24.952721,24.950944,121.030583,24.952721,121.022375,851.9724139309743,0.8519724139309743
72D080,五峰站,新竹縣,121.148983,24.613978,24.612194,121.157167,24.613978,121.148983,851.9775444496375,0.8519775444496376
82C160,茶改場,桃園市,121.17713,24.910258,24.908472,121.185333,24.910258,121.17713,851.9880289123973,0.8519880289123973
A2C560,農工中心,桃園市,121.231626,24.987706,24.985917,121.239833,24.987706,121.231626,851.9546446220971,0.8519546446220971
82A750,文山茶改,新北市,121.623022,24.957588,24.955778,121.631222,24.957588,121.623022,852.0076528511815,0.8520076528511815
72U480,蘭陽分場,宜蘭縣,121.708402,24.688121,24.686306,121.716583,24.688121,121.708402,852.0105816411796,0.8520105816411796
K2E360,苗栗農改,苗栗縣,120.82093,24.497488,24.495722,120.829111,24.497488,120.82093,851.9660470310479,0.8519660470310478
K2E710,大湖分場,苗栗縣,120.863657,24.42463,24.422861,120.871833,24.42463,120.863657,852.012822477285,0.852012822477285
K2F750,種苗繁殖,臺中市,120.792753,24.227737,24.225972,120.800917,24.227737,120.792753,851.971204439261,0.851971204439261
82H840,凍頂茶改,南投縣,120.732364,23.76429,23.762528,120.7405,23.76429,120.732364,852.0091869150801,0.8520091869150801
82H320,魚池茶改,南投縣,120.905442,23.877382,23.875611,120.913583,23.877382,120.905442,852.0352740786167,0.8520352740786167
U2HA50,臺大竹山,南投縣,120.67342,23.758731,23.756972,120.681556,23.758731,120.67342,851.9673954738398,0.8519673954738398
G2L020,嘉義農試,嘉義市,120.465684,23.486776,23.485028,120.473806,23.486776,120.465684,851.9643006311401,0.85196430063114
72M360,義竹分場,嘉義縣,120.271244,23.362432,23.360694,120.279361,23.362432,120.271244,851.9705416166032,0.8519705416166032
B2N890,畜試所,臺南市,120.328308,23.060713,23.058972,120.336406,23.060713,120.328308,851.9646882163535,0.8519646882163535
G2P820,鳳山農試,高雄市,120.34801,22.648354,22.646611,120.356083,22.648354,120.34801,851.951221379677,0.851951221379677
B2Q810,恆春畜試,屏東縣,120.794139,21.947348,21.945583,120.802167,21.947348,120.794139,852.0171571417937,0.8520171571417937
72T250,花蓮農改,花蓮縣,121.555752,23.977028,23.975222,121.563889,23.977028,121.555752,851.9228103021381,0.8519228103021381
E2H360,蓮華池,南投縣,120.877136,23.920106,23.918333,120.885278,23.920106,120.877136,851.9205861783181,0.8519205861783181
72HA00,埔里分場,南投縣,120.955222,23.904982,23.903208,120.963364,23.904982,120.955222,852.0399196976664,0.8520399196976663
U2HA30,臺大和社,南投縣,120.880744,23.592633,23.590856,120.888864,23.592633,120.880744,851.8561511789,0.8518561511788999
U2HA40,臺大內茅埔,南投縣,120.842992,23.691497,23.689722,120.851117,23.691497,120.842992,851.6963042405673,0.8516963042405673
G2M350,溪口農場,嘉義縣,120.399994,23.587406,23.58565,120.408111,23.587406,120.399994,851.0555683503038,0.8510555683503038
E2K600,四湖植物園,雲林縣,120.155296,23.678718,23.676986,120.163433,23.678718,120.155296,851.8805716378765,0.8518805716378766
G2F820,農業試驗所,臺中市,120.679986,24.033022,24.031261,120.688133,24.033022,120.679986,851.4079698995218,0.8514079698995218
72M700,嘉義分場,嘉義縣,120.274941,23.418608,23.416869,120.283061,23.418608,120.274941,851.9537246564529,0.8519537246564529
72N240,七股研究中心,臺南市,120.054792,23.083472,23.081672,120.062894,23.083472,120.054792,853.7301852647339,0.8537301852647339
42HA10,萬大發電廠,南投縣,121.131497,23.980611,23.978875,121.139639,23.980611,121.131497,850.6089766788228,0.8506089766788228
12Q970,東港工作站,屏東縣,120.458017,22.481778,22.479997,120.466058,22.481778,120.458017,850.6801922391843,0.8506801922391843
12J990,口湖工作站,雲林縣,120.172281,23.591722,23.589978,120.180394,23.591722,120.172281,850.3288269433729,0.8503288269433729
12Q980,恆春工作站,屏東縣,120.706406,22.081478,22.079678,120.714425,22.081478,120.706406,851.2538925655077,0.8512538925655078
V2K610,大庄合作社,雲林縣,120.359808,23.80855,23.8068,120.367939,23.80855,120.359808,850.93646854879,0.85093646854879
V2K620,麥寮合作社,雲林縣,120.286657,23.755583,23.753836,120.294783,23.755583,120.286657,850.6910845686389,0.8506910845686388
E2S980,太麻里(1),臺東縣,120.971991,22.600724,22.598922,120.980044,22.600724,120.971991,851.7337141126528,0.8517337141126529
E2S960,太麻里(2),臺東縣,120.9897,22.599802,22.598,120.99775,22.599802,120.9897,851.4391895372623,0.8514391895372624
72AI40,桃改臺北,新北市,121.378755,24.946279,24.944503,121.386972,24.946279,121.378755,852.8731535204475,0.8528731535204476
E2HA20,畢祿溪站,南投縣,121.300362,24.22873,24.226944,121.308522,24.22873,121.300362,852.1065587627585,0.8521065587627585
A2N290,蘭花園區,臺南市,120.371562,23.342018,23.340258,120.379661,23.342018,120.371562,850.855960562696,0.8508559605626961
B2U990,宜蘭畜試,宜蘭縣,121.824362,24.670842,24.669039,121.832561,24.670842,121.824362,853.5799376346639,0.8535799376346639
A2K630,雲林臺大,雲林縣,120.415777,23.732381,23.730628,120.423903,23.732381,120.415777,850.9852332409623,0.8509852332409623
E2P980,六龜林試,高雄市,120.637645,22.993482,22.991703,120.645722,22.993482,120.637645,851.2323541759346,0.8512323541759346
E2P990,扇平林試,高雄市,120.677627,22.969481,22.9677,120.685703,22.969481,120.677627,851.3260623810024,0.8513260623810024
A2K360,臺西水試,雲林縣,120.182399,23.718974,23.717231,120.190522,23.718974,120.182399,850.5177097468363,0.8505177097468363
V2C250,八德合作社,桃園市,121.258178,24.939471,24.93775,121.266389,24.939471,121.258178,850.9420726731197,0.8509420726731197
V2C260,八德蔬果,桃園市,121.27356,24.980279,24.978508,121.281819,24.980279,121.27356,856.6512856400309,0.8566512856400309
72D680,新埔工作站,新竹縣,121.058,24.836,24.834444,121.066111,24.836,121.058,837.8156618642674,0.8378156618642675
G2AI50,台農院關渡站,臺北市,121.483769,25.117528,25.11575,121.492,25.117528,121.483769,853.1791727684107,0.8531791727684107
CAH030,茶改場竹圍站,南投縣,120.629392,23.861844,23.86008,120.6375,23.861844,120.629392,848.6818454661263,0.8486818454661263
CAN130,水試所海水繁養殖中心,臺南市,120.071594,23.122553,23.120802,120.079676,23.122553,120.071594,850.250941381083,0.8502509413810829
CAL110,布袋國中,嘉義縣,120.17216,23.360676,23.35893,120.18026,23.360676,120.17216,850.4890031272283,0.8504890031272283
CAG100,王功漁港,彰化縣,120.317718,23.969984,23.96824,120.32586,23.969984,120.317718,850.8758569691296,0.8508758569691296
CAJ050,海口故事園區,雲林縣,120.133097,23.577174,23.57543,120.14121,23.577174,120.133097,850.4176375228676,0.8504176375228676
CAN140,六官養殖協會,臺南市,120.29153,23.230568,23.22881,120.29962,23.230568,120.29153,850.5793224097345,0.8505793224097344
CAQ030,崎峰國小,屏東縣,120.487171,22.427434,22.42565,120.49521,22.427434,120.487171,850.8704518856193,0.8508704518856194
C2M960,外寮,嘉義縣,120.657572,23.564411,23.562643,120.665688,23.564411,120.657572,851.401236495789,0.851401236495789
C2M970,碧湖,嘉義縣,120.616047,23.570397,23.568632,120.624165,23.570397,120.616047,851.4870868667937,0.8514870868667936
C2R170,屏東,屏東縣,120.485974,22.662048,22.660269,120.494027,22.662048,120.485974,850.7835779065985,0.8507835779065984
C2V310,美濃,高雄市,120.511,22.900567,22.898792,120.51907,22.900567,120.511,850.9808533875481,0.8509808533875481
C2M980,安和,嘉義縣,120.30782,23.515523,23.51377,120.31593,23.515523,120.30782,850.721988967843,0.850721988967843
